scene_title,scene_description,historical_period,event_year,difficulty,question_order,question_text,explanation,answer_1,answer_1_correct,answer_2,answer_2_correct,answer_3,answer_3_correct,answer_4,answer_4_correct,panorama_filename
"Утро в древнем Риме","Римский форум на рассвете, когда торговцы и сенаторы начинают новый день","Античность","50 до н.э.","easy",1,"Как называлась главная площадь древнего Рима?","Форум был центром общественной жизни.","Форум",true,"Агора",false,"Форум Романа",false,"Акрополь",false,rome_morning.jpg
"Утро в древнем Риме","Римский форум на рассвете, когда торговцы и сенаторы начинают новый день","Античность","50 до н.э.","easy",2,"Кто был верховным жрецом в Риме?","Понтифекс максимус — главный жрец Рима.","Понтифекс максимус",true,"Император",false,"Цезарь",false,"Квестор",false,rome_morning.jpg
"Ночь в средневековом замке","Круглая башня с фонарями и охраной перед решающей битвой","Средневековье","XIV век","easy",1,"Как назывались вооружённые люди, охранявшие замок?","Рыцари и стража защищали крепость.","Стража",true,"Купцы",false,"Фермеры",false,"Священники",false,medieval_castle.jpg
"Ночь в средневековом замке","Круглая башня с фонарями и охраной перед решающей битвой","Средневековье","XIV век","easy",2,"Какая крепость обычно строилась в центре замка?","Цитадель находилась в центре защитной зоны.","Цитадель",true,"Мотт",false,"Башня Орла",false,"Гайтен",false,medieval_castle.jpg
"Первые шаги на Луне","Аполлон-11 на лунной поверхности с американским флагом","Новейшая история","1969","easy",1,"Кто первым ступил на Луну?","Нил Армстронг сделал первый шаг.","Нил Армстронг",true,"Баз Олдрин",false,"Майкл Коллинз",false,"Юрий Гагарин",false,moon_landing.jpg
"Первые шаги на Луне","Аполлон-11 на лунной поверхности с американским флагом","Новейшая история","1969","easy",2,"Какой цвет у флага, установленного на Луне?","Американский флаг — красный, белый и синий.","Красный, белый и синий",true,"Только красный",false,"Только белый",false,"Только синий",false,moon_landing.jpg
"Париж в эпоху Возрождения","Улица с ремесленниками и художниками около собора Нотр-Дам","Ренессанс","XV век","easy",1,"В каком городе находится Нотр-Дам?","Нотр-Дам — собор в Париже.","Париж",true,"Рим",false,"Лондон",false,"Берлин",false,paris_renaissance.jpg
"Париж в эпоху Возрождения","Улица с ремесленниками и художниками около собора Нотр-Дам","Ренессанс","XV век","easy",2,"Как называлась площадь перед собором Нотр-Дам?","Площадь перед собором называлась Площадью Пале-Руаяль.","Пале-Руаяль",true,"Трафальгар",false,"Сен-Мишель",false,"Пьяцца Навона",false,paris_renaissance.jpg
"Плавание в эпоху викингов","Длиннорукое судно приближается к берегу с истуканом дракона","Раннее Средневековье","IX век","easy",1,"Какие люди плавали на этих кораблях?","Это суда викингов.","Викинги",true,"Римляне",false,"Греки",false,"Арабы",false,viking_ship.jpg
"Плавание в эпоху викингов","Длиннорукое судно приближается к берегу с истуканом дракона","Раннее Средневековье","IX век","easy",2,"Какой символ часто украшал нос викингского корабля?","Дракон был популярным украшением.","Дракон",true,"Грифон",false,"Лев",false,"Феникс",false,viking_ship.jpg
